ux,uy
-6.911322879694271545e-03,-6.944186899899238222e-03
2.325532540108670235e-02,-2.636214811450426389e-03
2.059669490222314214e-02,-6.888860431754761406e-03
1.084034485692080864e-02,-8.730583412053774875e-03
1.475909689866512949e-02,-4.347517244943300413e-03
7.412025677456358409e-03,-6.854022952135358816e-03
-1.175078426685536442e-02,-5.147268050093600257e-03
4.354367512489783730e-03,7.093894893173999933e-03
1.565328494856789432e-02,6.824832214066023015e-03
-8.565721544335266197e-03,-5.503352938068766312e-03
-1.550207708034969344e-02,-4.152744749499691357e-03
2.576748149581084210e-02,0.000000000000000000e+00
-4.154200584926463768e-02,0.000000000000000000e+00
0.000000000000000000e+00,-1.067532452040952616e-02
7.988038344823002873e-03,6.456786061678183343e-03
1.020449585366700607e-02,8.498120812648802050e-03
2.050431369844653295e-02,-5.204234217472990861e-04
3.213297049597308580e-02,2.638030666450449598e-04
2.565628676704575107e-03,-1.047300622833869516e-02
-9.354322035793487949e-03,-4.821219478027470758e-03
3.607288497508090008e-03,1.010370638094683186e-02
-1.137891344694604012e-02,-4.478676192000154502e-03
-3.000867906946014935e-02,-4.866584109548706123e-04
-1.007818324791802389e-02,-2.843828083642229061e-03
